"","Observation","Cooker","TestDate","M","Cv","Wind","H1","I1","Ta1","T1","H2","I2","Ta2","T2","Tdevice","Mdevice","TaWindDevice","Pyranometer","Pot","NB","WL","PlasticBag","Reflect","MeasureOpeningmm","BagClosed","Angle","Bricks","Operator","time_diff_sec","time_diff_minutes","exp_window","T_diff","I_avg","P_i","P_s","valid_wind","valid_ambient","valid_insolation","valid_water_temp","T_avg","Ta_avg","Td","H1_dec","H2_dec","day_of_year","d_rad","E","solar_time_correction_minutes","solar_time_H1","solar_time_H2","solar_time","valid_solar_time","delta","delta_rad","h_angle","h_angle_rad","phi","solar_zenith_rad","solar_zenith_deg","solar_azimuth_rad","solar_azimuth_deg"
"1",1,"Brother",2022-07-06,0.528,4186,2.45,2025-04-13 14:21:00,685,23,50,2025-04-13 14:31:00,685,22.2,51,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,60,0,"LB",600,10,1,1,685,3.68368,3.76434452554745,TRUE,TRUE,TRUE,TRUE,50.5,22.6,27.9,14.35,14.5166666666667,187,3.20184237571343,-4.84111810267968,35.6548818973203,14.944248031622,15.1109146982887,15.0275813649553,FALSE,22.7842976348569,0.397661011482609,54.3274409486602,0.948192718736911,0.895371359565611,0.878392336323569,50.3281736279765,1.33812999030453,76.6692008843316
"2",2,"Brother",2022-07-06,0.528,4186,2.45,2025-04-13 14:31:00,200,22.2,51,2025-04-13 14:41:00,200,22.4,51,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,0,200,0,0,TRUE,TRUE,FALSE,TRUE,51,22.3,28.7,14.5166666666667,14.6833333333333,187,3.20184237571343,-4.84111810267968,35.6548818973203,15.1109146982887,15.2775813649553,15.194248031622,FALSE,22.7842976348569,0.397661011482609,56.8274409486602,0.99182595003677,0.895371359565611,0.905053665813115,51.8557552839351,1.37684666404425,78.8875028864021
"3",3,"Brother",2022-07-06,0.528,4186,2.45,2025-04-13 14:41:00,200,22.4,51,2025-04-13 14:55:00,200,22.9,51,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",840,14,1,0,200,0,0,TRUE,TRUE,FALSE,TRUE,51,22.65,28.35,14.6833333333333,14.9166666666667,187,3.20184237571343,-4.84111810267968,35.6548818973203,15.2775813649553,15.5109146982887,15.394248031622,FALSE,22.7842976348569,0.397661011482609,59.8274409486602,1.0441858275966,0.895371359565611,0.937308823861976,53.7038397076623,1.42195543969479,81.472045350181
"4",4,"Brother",2022-07-06,0.528,4186,2.45,2025-04-13 14:55:00,685,22.9,51,2025-04-13 15:12:00,685,24.5,55,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",1020,17,1,4,685,14.73472,15.0573781021898,TRUE,TRUE,TRUE,TRUE,53,23.7,29.3,14.9166666666667,15.2,187,3.20184237571343,-4.84111810267968,35.6548818973203,15.5109146982887,15.794248031622,15.6525813649553,FALSE,22.7842976348569,0.397661011482609,63.7024409486602,1.11181733611138,0.895371359565611,0.97928186490223,56.1087178125982,1.47832208548171,84.7016162590803
"5",5,"Brother",2022-07-06,0.528,4186,2.45,2025-04-13 15:12:00,250,24.5,55,2025-04-13 15:22:00,230,25.5,55,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,0,240,0,0,TRUE,TRUE,FALSE,TRUE,55,25,30,15.2,15.3666666666667,187,3.20184237571343,-4.84111810267968,35.6548818973203,15.794248031622,15.9609146982887,15.8775813649553,FALSE,22.7842976348569,0.397661011482609,67.0774409486602,1.17072219836619,0.895371359565611,1.01602088967219,58.2137088753435,1.52593011932183,87.4293556690349
"6",6,"Brother",2022-07-06,0.528,4186,2.45,2025-04-13 15:22:00,100,25.5,55,2025-04-13 15:32:00,100,26.1,50,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,-5,100,-18.4184,-128.9288,TRUE,TRUE,FALSE,TRUE,52.5,25.8,26.7,15.3666666666667,15.5333333333333,187,3.20184237571343,-4.84111810267968,35.6548818973203,15.9609146982887,16.1275813649553,16.044248031622,FALSE,22.7842976348569,0.397661011482609,69.5774409486602,1.21435542966605,0.895371359565611,1.04328993780244,59.7761102445458,1.56043806570954,89.4065153567147
"7",7,"Brother",2022-07-08,0.528,4186,0.9,2025-04-13 13:17:00,685,22.9,61,2025-04-13 13:27:00,685,22.9,73,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,12,685,44.20416,45.1721343065693,TRUE,TRUE,TRUE,TRUE,67,22.9,44.1,13.2833333333333,13.45,189,3.23627078835551,-5.13883065190878,35.3571693480912,13.8726194891349,14.0392861558015,13.9559528224682,TRUE,22.5805410669001,0.3941047884992,38.1785846740456,0.666342006313542,0.895371359565611,0.717452074325882,41.1069758617793,1.05131055586198,60.2356578084438
"8",8,"Brother",2022-07-08,0.528,4186,0.9,2025-04-13 13:27:00,685,22.9,73,2025-04-13 13:37:00,685,22.9,78,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,5,685,18.4184,18.8217226277372,TRUE,TRUE,TRUE,TRUE,75.5,22.9,52.6,13.45,13.6166666666667,189,3.23627078835551,-5.13883065190878,35.3571693480912,14.0392861558015,14.2059528224682,14.1226194891349,FALSE,22.5805410669001,0.3941047884992,40.6785846740456,0.7099752376134,0.895371359565611,0.741455419495532,42.482266234196,1.09986856673697,63.0178268931314
"9",9,"Brother",2022-07-08,0.528,4186,0.9,2025-04-13 13:37:00,400,22.9,78,2025-04-13 13:47:00,400,22.9,75,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,-3,400,-11.05104,-19.33932,TRUE,TRUE,FALSE,TRUE,76.5,22.9,53.6,13.6166666666667,13.7833333333333,189,3.23627078835551,-5.13883065190878,35.3571693480912,14.2059528224682,14.3726194891349,14.2892861558015,FALSE,22.5805410669001,0.3941047884992,43.1785846740456,0.753608468913258,0.895371359565611,0.766048174354273,43.8913272942017,1.14650357987115,65.6898163232569
"10",10,"Brother",2022-07-09,0.528,4186,0.1,2025-04-13 10:00:00,330,19.9,21.7,2025-04-13 10:10:00,332,19.9,31,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,2,9.3,331,34.258224,72.4494163141994,TRUE,FALSE,FALSE,FALSE,26.35,19.9,6.45,10,10.1666666666667,190,3.25348499467655,-5.27773088353717,35.2182691164628,10.586971151941,10.7536378186077,10.6703044852744,TRUE,22.4688322289262,0.392155101472978,-11.1408654417686,-0.194444783480515,0.895371359565611,0.52535068592045,30.1003770675447,-0.364013880890162,-20.8564590591841
