"","Observation","Cooker","TestDate","M","Cv","Wind","H1","I1","Ta1","T1","H2","I2","Ta2","T2","Tdevice","Mdevice","TaWindDevice","Pyranometer","Pot","NB","WL","PlasticBag","Reflect","MeasureOpeningmm","BagClosed","Angle","Bricks","Operator","time_diff_sec","time_diff_minutes","exp_window","T_diff","I_avg","P_i","P_s","valid_wind","valid_ambient","valid_insolation","valid_water_temp","T_avg","Ta_avg","Td","H1_dec","H2_dec","day_of_year","B_deg","B_rad","E","solar_time_correction_minutes","solar_time_H1","solar_time_H2","solar_time","valid_solar_time","delta","delta_rad","h_angle","h_angle_rad","phi","solar_zenith_rad","solar_zenith_deg","solar_azimuth_rad","solar_azimuth_deg"
"1",1,"Brother",2022-07-06,0.528,4186,2.45,2025-04-22 14:21:00,685,23,50,2025-04-22 14:31:00,685,22.2,51,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,60,0,"LB",600,10,1,1,685,3.68368,3.76434452554745,TRUE,TRUE,TRUE,TRUE,50.5,22.6,27.9,14.35,14.5166666666667,187,183.452054794521,3.20184237571343,-4.41954414439463,36.0764558556054,14.9512742642601,15.1179409309268,15.0346075975934,FALSE,22.7842976348569,0.397661011482609,54.5382279278027,0.951871645543281,0.895371359565611,0.880631403430875,50.4564627232716,1.34143698443417,76.8586776908342
"2",2,"Brother",2022-07-06,0.528,4186,2.45,2025-04-22 14:31:00,200,22.2,51,2025-04-22 14:41:00,200,22.4,51,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,0,200,0,0,TRUE,TRUE,FALSE,TRUE,51,22.3,28.7,14.5166666666667,14.6833333333333,187,183.452054794521,3.20184237571343,-4.41954414439463,36.0764558556054,15.1179409309268,15.2846075975934,15.2012742642601,FALSE,22.7842976348569,0.397661011482609,57.0382279278027,0.995504876843139,0.895371359565611,0.907311420118509,51.9851150768117,1.38006236465046,79.0717489593155
"3",3,"Brother",2022-07-06,0.528,4186,2.45,2025-04-22 14:41:00,200,22.4,51,2025-04-22 14:55:00,200,22.9,51,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",840,14,1,0,200,0,0,TRUE,TRUE,FALSE,TRUE,51,22.65,28.35,14.6833333333333,14.9166666666667,187,183.452054794521,3.20184237571343,-4.41954414439463,36.0764558556054,15.2846075975934,15.5179409309268,15.4012742642601,FALSE,22.7842976348569,0.397661011482609,60.0382279278027,1.04786475440297,0.895371359565611,0.939584092517204,53.8342029988653,1.42507395682776,81.6507232202391
"4",4,"Brother",2022-07-06,0.528,4186,2.45,2025-04-22 14:55:00,685,22.9,51,2025-04-22 15:12:00,685,24.5,55,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",1020,17,1,4,685,14.73472,15.0573781021898,TRUE,TRUE,TRUE,TRUE,53,23.7,29.3,14.9166666666667,15.2,187,183.452054794521,3.20184237571343,-4.41954414439463,36.0764558556054,15.5179409309268,15.8012742642601,15.6596075975934,FALSE,22.7842976348569,0.397661011482609,63.9132279278027,1.11549626291775,0.895371359565611,0.981572525250166,56.239962982833,1.48133329201074,84.8741456844357
"5",5,"Brother",2022-07-06,0.528,4186,2.45,2025-04-22 15:12:00,250,24.5,55,2025-04-22 15:22:00,230,25.5,55,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,0,240,0,0,TRUE,TRUE,FALSE,TRUE,55,25,30,15.2,15.3666666666667,187,183.452054794521,3.20184237571343,-4.41954414439463,36.0764558556054,15.8012742642601,15.9679409309268,15.8846075975934,FALSE,22.7842976348569,0.397661011482609,67.2882279278027,1.17440112517256,0.895371359565611,1.01831889485038,58.345374873353,1.52886299133945,87.5973968574964
"6",6,"Brother",2022-07-06,0.528,4186,2.45,2025-04-22 15:22:00,100,25.5,55,2025-04-22 15:32:00,100,26.1,50,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,-5,100,-18.4184,-128.9288,TRUE,TRUE,FALSE,TRUE,52.5,25.8,26.7,15.3666666666667,15.5333333333333,187,183.452054794521,3.20184237571343,-4.41954414439463,36.0764558556054,15.9679409309268,16.1346075975934,16.0512742642601,FALSE,22.7842976348569,0.397661011482609,69.7882279278027,1.21803435647242,0.895371359565611,1.04559001743,59.9078950997494,1.56332117027398,89.5717050801515
"7",7,"Brother",2022-07-08,0.528,4186,0.9,2025-04-22 13:17:00,685,22.9,61,2025-04-22 13:27:00,685,22.9,73,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,12,685,44.20416,45.1721343065693,TRUE,TRUE,TRUE,TRUE,67,22.9,44.1,13.2833333333333,13.45,189,185.424657534247,3.23627078835551,-4.76794090626203,35.728059093738,13.8788009848956,14.0454676515623,13.962134318229,TRUE,22.5805410669001,0.3941047884992,38.364029546869,0.669578629925252,0.895371359565611,0.719210578232873,41.2077307139071,1.05498212943941,60.4460234786028
"8",8,"Brother",2022-07-08,0.528,4186,0.9,2025-04-22 13:27:00,685,22.9,73,2025-04-22 13:37:00,685,22.9,78,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,5,685,18.4184,18.8217226277372,TRUE,TRUE,TRUE,TRUE,75.5,22.9,52.6,13.45,13.6166666666667,189,185.424657534247,3.23627078835551,-4.76794090626203,35.728059093738,14.0454676515623,14.212134318229,14.1288009848956,FALSE,22.5805410669001,0.3941047884992,40.864029546869,0.71321186122511,0.895371359565611,0.74326038826614,42.5856833269047,1.10339188901824,63.2196983897124
"9",9,"Brother",2022-07-08,0.528,4186,0.9,2025-04-22 13:37:00,400,22.9,78,2025-04-22 13:47:00,400,22.9,75,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,1,-3,400,-11.05104,-19.33932,TRUE,TRUE,FALSE,TRUE,76.5,22.9,53.6,13.6166666666667,13.7833333333333,189,185.424657534247,3.23627078835551,-4.76794090626203,35.728059093738,14.212134318229,14.3788009848956,14.2954676515623,FALSE,22.5805410669001,0.3941047884992,43.364029546869,0.756845092524969,0.895371359565611,0.767893778302283,43.9970726110754,1.14989069756311,65.8838838717204
"10",10,"Brother",2022-07-09,0.528,4186,0.1,2025-04-22 10:00:00,330,19.9,21.7,2025-04-22 10:10:00,332,19.9,31,"Oven","Soehnle ","AnometerRoHS","Tenmars206","BrotherCookupXL",51.301,4.876,1,"AluFoli",4,0,NA,0,"LB",600,10,2,9.3,331,34.258224,72.4494163141994,TRUE,FALSE,FALSE,FALSE,26.35,19.9,6.45,10,10.1666666666667,190,186.41095890411,3.25348499467655,-4.93343177553583,35.5625682244642,10.5927094704077,10.7593761370744,10.6760428037411,TRUE,22.4688322289262,0.392155101472978,-10.9687158877679,-0.191440206957363,0.895371359565611,0.524686592699943,30.0623273288064,-0.358635293586457,-20.5482887069392
